track_name,artist,album
Aakaasha Deepavu Neenu,S. P. Balasubrahmanyam,Pavana Ganga
Aayarpadi Maligaiyil,S. P. Balasubrahmanyam,Sri Krishna Ganam
Anjali Anjali,A.R. Rahman,Duet (Original Motion Picture Soundtrack)
Elliruve,S. P. Balasubrahmanyam,Bayalu Daari
En Kadhale (Male Version),A.R. Rahman,Duet (Original Motion Picture Soundtrack)
Enna Saththam Indha Neram,Ilaiyaraaja,Punnagai Mannan (Original Motion Picture Soundtrack)
Geethanjali Pushpanjali,S. P. Balasubrahmanyam,Cbi Shankar
Idho Idho En Pallavi,S. P. Balasubrahmanyam,Sigaram (Original Motion Picture Soundtrack)
Jotheyali,S. P. Balasubrahmanyam,Geetha
Kadalenum (From Kadhalar Dhinam),S. P. Balasubrahmanyam,S.P.B and K.J.Jesudas Hits
Kammani,S. P. Balasubrahmanyam,Guna
Keeravani,Surya,Krishna Hare Krishna
Maate Manthramu,S. P. Balasubrahmanyam,Seethakoka Chilaka
"Malare (From ""Karna"")",S. P. Balasubrahmanyam,Thaalamum Melamum
Nadha Vinodhamu,S. P. Balasubrahmanyam,Sagara Sangamam (Telugu)
Naguva Nayana,S. P. Balasubrahmanyam,Pallavi Anu Pallavi (Original Motion Picture Soundtrack)
Nenjukkule Innarendru,Ilaiyaraaja,Ponnumani (Original Motion Picture Soundtrack)
Noorondhu Nenapu,S. P. Balasubrahmanyam,Bandhana
O Meghave Meghave,S. P. Balasubrahmanyam,Shrungara Kaavya
O Priya,S. P. Balasubrahmanyam,80's Heart Broken
"Ondu Aparoopada (From ""Srigandha"")",S. P. Balasubrahmanyam,Legendary Voice of Spb
Priyathama,S. P. Balasubrahmanyam,Jagadekaveerudu Athiloka Sundari
Sri Venkatesha Stotram,ISKCON Bangalore,Sri Venkatesha Stotram
Sundari,S. P. Balasubrahmanyam,Thalapathi
Sundari Neeve,S. P. Balasubrahmanyam,Dalapathi
"Thelusa Manasa (From ""Criminal"")",S. P. Balasubrahmanyam,90's Golden Hits S.P.Balasubramanyam & K.S.Chitra
"Vizhiyile Mani (From ""Nooravathu Naal"")",Ilaiyaraaja,Remembering Captain Vijayakanth
