track_name,artist,album
Actually Romantic,Taylor Swift,The Life of a Showgirl
Ayiram Thamarai,S. Janaki,Alaigal Oyvatillai
BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT
Garuda Gamana Tava - Mahav Vishnu Stotram,Shree Naval Kishori,Garuda Gamana Tava (Mahav Vishnu Stotram)
Hesaru Poorthi,Vani Harikrishna,Paramathma (Original Motion Picture Soundtrack)
I Think They Call This Love,Elliot James Reay,I Think They Call This Love
Ilaya Nila,Ilaiyaraaja,Payanangal Mudivathillai (Original Motion Picture Soundtrack)
Jabilli Kosam-Male,S. P. Balasubrahmanyam,Manchi Manasulu
"Kalyaana Maalai - Version, 1",Ilaiyaraaja,Pudhu Pudhu Arthangal (Original Motion Picture Soundtrack)
Line Without a Hook,Ricky Montgomery,Montgomery Ricky
Mate Rani,S. P. Balasubrahmanyam,O Papa Lali
Nee Amrithadhare,Harish Raghavendra,Amrithadhare (Original Motion Picture Soundtrack)
Nilaave Vaa,Ilaiyaraaja,Mouna Ragam (Original Motion Picture Soundtrack)
Sri Ram Ramethi,M. M. Keeravaani,Sri Ramadasu
Valaiyosai,Ilaiyaraaja,Sathya (Original Motion Picture Soundtrack)
World We Used To Know,Alan Walker,World Of Walker
Yamune Aatrile,Mithali,Thalapathi
blue,yung kai,"stay with the ocean, i'll find you"
